User;CPRs;MPRs;Cts;Reviews;CI
mattmutex;1;"-";"-";"-";1
miltonguzmanf;"-";"-";"-";"-";0
moebiusever;1;"-";1;"-";2
muradahmed25;1;"-";"-";"-";1
mvasquez13;"-";"-";"-";"-";0
nbessi;"-";"-";"-";1;1
netkia;1;"-";"-";"-";1
"niboo-ava";"-";"-";"-";"-";0
nzaterrence;"-";"-";"-";"-";0
"p-tombez";"-";"-";"-";"-";0
"palkesh-aktivsoftware";2;"-";"-";"-";1
percevaq;"-";"-";"-";2;2
philhug;"-";"-";"-";"-";0
"pierre-halleux";2;"-";"-";"-";1
qpeyramale;"-";1;"-";1;2
"rami-wafaie";"-";"-";"-";"-";0
redapureskill;"-";"-";"-";"-";0
robertobandera123;"-";"-";"-";"-";0
robertrottermann;"-";"-";1;"-";1
samsagaz;"-";"-";2;"-";1
sherpya;"-";"-";2;"-";1
"simplify-m110";1;1;"-";"-";2
skukered;"-";"-";"-";"-";0
"smurf-U";"-";1;"-";"-";1
smussie;1;1;"-";"-";2
soikat9;1;"-";"-";"-";1
"sp-jamotion";"-";"-";"-";"-";0
tansadio;"-";"-";"-";"-";0
tcamberlin;1;"-";"-";1;2
tschanzt;"-";"-";"-";"-";0
tuanle96;1;"-";"-";"-";1
"v-garcies";"-";"-";"-";1;1
vincenzoterzulli;1;"-";"-";"-";1
wildi1;"-";"-";"-";"-";0
"ww-michael";"-";"-";"-";2;2
yk2kus;"-";"-";"-";"-";0
zakiuu;"-";"-";"-";"-";0
zamberjo;1;"-";"-";"-";1
0xA537FD;"-";"-";"-";"-";0
26houseRobot;1;"-";"-";"-";1
"AIR-Leo";1;"-";"-";"-";1
AbdelrahmanHamdy1996;1;"-";"-";"-";1
AbdulrhmanGad;"-";"-";"-";"-";0
Akhaphon;"-";"-";"-";"-";0
AlienAtSystem;1;"-";"-";"-";1
AnilKesariya;"-";"-";"-";1;1
"Annabelle-Stoffel";"-";"-";"-";"-";0
ArantxaSudon;"-";"-";"-";1;1
"BT-dherreros";"-";"-";"-";"-";0
"BT-jaldabo";1;"-";"-";"-";1
"BT-tbaechle";"-";"-";"-";"-";0
BenjaHe;"-";"-";"-";1;1
