User;CPRs;MPRs;Cts;Reviews;CI
miquelalzanillas;1;1;1;"-";3
monen17;1;1;1;"-";3
mrgoetz;1;"-";2;"-";2
murtuzasaleh;"-";2;"-";"-";2
oihane;1;"-";1;"-";2
renzo1974;"-";"-";1;2;3
rjpathan;2;"-";"-";"-";1
AmmarOfficewalaSerpentCS;"-";1;1;"-";2
"BT-ssteiner";"-";"-";1;1;2
Bilbonet;1;1;"-";"-";2
Camille0907;"-";2;"-";"-";2
CarmenMiranda;"-";"-";"-";2;2
FernandoRomera;"-";"-";"-";2;2
JHernandezConinpe;1;1;"-";"-";2
LudLaf;1;"-";1;"-";2
"MPoch-PlanetaTIC";"-";"-";1;"-";1
MateuGForgeFlow;"-";1;"-";1;2
Meisolsson;"-";"-";"-";2;2
OpenCode;"-";1;1;"-";2
PaulGoubert;"-";"-";"-";2;2
SerM11;"-";"-";"-";2;2
SimoneVagile;"-";"-";"-";2;2
TeoGoddet;"-";"-";2;"-";1
"Vandan-OSI";"-";2;"-";"-";2
"ae-landoo";"-";"-";1;1;2
antonioburic;1;"-";1;"-";2
antoniocanovas;"-";"-";1;1;2
baimont;1;"-";"-";"-";1
brian10048;"-";"-";"-";1;1
"bruno-zanotti";"-";"-";2;"-";1
bunhin;"-";"-";2;"-";1
dalonsod;"-";"-";1;1;2
dammaksalma;"-";"-";"-";"-";0
dariodelzozzo;"-";"-";"-";2;2
davejames;1;"-";"-";"-";1
ellbristow;1;"-";1;"-";2
fkantelberg;1;"-";"-";"-";1
florenciafrigieri2;"-";"-";"-";2;2
gfcapalbo;"-";"-";"-";"-";0
heiarere1;1;"-";"-";"-";1
hieu1211;"-";1;"-";1;2
hieulucky111;"-";"-";"-";2;2
hitrosol;"-";"-";1;1;2
holdenrehg;"-";2;"-";"-";2
jado95;"-";"-";1;1;2
janverb;"-";"-";"-";"-";0
jeroenev;1;"-";1;"-";2
josepmy;1;1;"-";"-";2
kenayagi;"-";"-";"-";2;2
kirca;1;"-";1;"-";2
koenloodts;"-";2;"-";"-";2
larmar;"-";"-";"-";"-";0
luisplanes;1;"-";1;"-";2
matiasperalta1;2;"-";"-";"-";1
mattmutex;1;"-";"-";"-";1
mdietrichc2c;"-";"-";"-";"-";0
mlaitinen;"-";1;1;"-";2
newtratip;"-";"-";1;1;2
onurugur;"-";"-";2;"-";1
"osi-scampbell";"-";"-";1;1;2
"patrickt-oforce";1;"-";1;"-";2
"pierre-halleux";2;"-";"-";"-";1
"rami-wafaie";"-";"-";"-";"-";0
robin5210;2;"-";"-";"-";1
rquevedo;2;"-";"-";"-";1
saralb9;"-";1;"-";1;2
saxomanu;2;"-";"-";"-";1
"schout-it";2;"-";"-";"-";1
sebastiken;"-";"-";"-";"-";0
sinerkiaid;1;1;"-";"-";2
sugapablo;1;"-";1;"-";2
tranngocson1996;"-";1;"-";1;2
treveradams;"-";"-";"-";"-";0
tupaq;2;"-";"-";"-";1
vdewulf;"-";"-";2;"-";1
vrenaville;"-";"-";"-";"-";0
wpichler;"-";"-";2;"-";1
yostashiro;"-";1;"-";1;2
yvaucher;"-";1;"-";"-";1
Abranes;"-";"-";"-";"-";0
AdriaGForgeFlow;"-";"-";"-";"-";0
AlbertCabedo;"-";"-";1;"-";1
AlvaroTForgeFlow;"-";1;"-";"-";1
"BT-fgarbely";"-";"-";"-";1;1
"BT-mgomez";"-";"-";"-";1;1
BertVGroenendael;1;"-";"-";"-";1
"Chanakya-OSI";"-";1;"-";"-";1
Dariosi;"-";1;"-";"-";1
"Du-ma";"-";"-";"-";1;1
EBII;"-";"-";"-";"-";0
Espzai;"-";"-";"-";"-";0
EvvFoxy;"-";"-";"-";1;1
Fuchur777;"-";"-";"-";"-";0
GiacoJona;"-";"-";"-";"-";0
HirenDangar;"-";"-";"-";"-";0
Jerther;"-";"-";"-";"-";0
Jesarregui;"-";"-";"-";1;1
