User,CI,CPRs,MPRs,Cts,Reviews
hailangvn,1,(null),(null),(null),1
hitrosol,1,(null),(null),1,(null)
kwoychesko,1,(null),(null),2,(null)
loida-vm,1,(null),(null),2,(null)
lorenzoallegrucci,1,(null),(null),2,(null)
lorenzomorandini,1,(null),(null),2,(null)
mb-ife,1,(null),1,(null),(null)
n17,1,(null),(null),2,(null)
ng-ife,1,1,(null),(null),(null)
omalbastin,1,(null),(null),2,(null)
rfindling-gpc,1,1,(null),(null),(null)
rven,1,(null),(null),2,(null)
smaddlsoft,1,(null),(null),2,(null)
zalei-odoo,1,(null),(null),2,(null)
AEstLo,1,(null),(null),(null),1
AReitenauer,1,(null),(null),1,(null)
AmalBenAissa,1,(null),(null),1,(null)
BT-pgaiser,1,(null),1,(null),(null)
BT-tkarpinski,1,(null),(null),(null),1
BetoRaja,1,(null),1,(null),(null)
Camille0907,1,1,(null),(null),(null)
ChanGuaZzz,1,(null),1,(null),(null)
ChristophAbenthungCibex,1,1,(null),(null),(null)
DarioLodeiros,1,1,(null),(null),(null)
FherStk,1,1,(null),(null),(null)
FlJesusLorenzo,1,(null),(null),(null),1
Flavia0320,1,(null),1,(null),(null)
FranciscoExposito,1,(null),(null),(null),1
GabbasovDinar,1,(null),(null),(null),1
IJOL,1,(null),(null),(null),1
IvanHRN,1,(null),(null),1,(null)
JJRR5,1,1,(null),(null),(null)
JavierB7,1,(null),(null),1,(null)
Jortolsa-S73,1,(null),(null),(null),1
JustineBlanchet,1,1,(null),(null),(null)
Katulos,1,(null),(null),1,(null)
Luis-Miguel1,1,1,(null),(null),(null)
MaX-Lo,1,1,(null),(null),(null)
Marco-ooops,1,(null),(null),(null),1
Maxime-TC,1,(null),(null),1,(null)
Miguel-Granda1121,1,1,(null),(null),(null)
OSevangelist,1,(null),(null),1,(null)
Paulius11,1,(null),(null),1,(null)
Qlasta,1,1,(null),(null),(null)
QuiJoQuim,1,(null),(null),1,(null)
RLeeOSI,1,1,(null),(null),(null)
Ricardoalso,1,1,(null),(null),(null)
Ryoko04,1,(null),(null),(null),1
Segui-S73,1,(null),(null),(null),1
SodexisTeam,1,(null),(null),(null),1
TheSumitBasak,1,1,(null),(null),(null)
TomeroDev83,1,1,(null),(null),(null)
Victor-Plagaro,1,(null),(null),1,(null)
YoussefEttamimi,1,1,(null),(null),(null)
Zar-SW,1,(null),(null),1,(null)
abraham-mplus,1,1,(null),(null),(null)
acsonefho,1,(null),(null),(null),1
adar2378,1,1,(null),(null),(null)
adrian-dks,1,1,(null),(null),(null)
ajaniszewska-dev,1,(null),1,(null),(null)
alejandrotrey,1,(null),(null),1,(null)
alexeirivera87,1,(null),(null),1,(null)
amkarthik,1,(null),(null),(null),1
anothingguy,1,(null),(null),1,(null)
anthonissen-a,1,(null),(null),1,(null)
arnaudlayec,1,1,(null),(null),(null)
arpol-dev,1,(null),(null),1,(null)
ayushin,1,(null),(null),1,(null)
bencoronel,1,(null),(null),1,(null)
bjkumal,1,(null),(null),(null),1
celm1990,1,(null),(null),(null),1
cgarcia-solvos,1,(null),(null),(null),1
cormaza,1,1,(null),(null),(null)
crrodrigueztrujillo,1,(null),(null),(null),1
dalonsofl,1,(null),(null),(null),1
dc-oerp,1,(null),(null),1,(null)
dcorio,1,(null),(null),1,(null)
dhx,1,(null),(null),(null),1
dtgagnon,1,1,(null),(null),(null)
ebirbe,1,(null),(null),1,(null)
em92,1,(null),(null),1,(null)
eugenios73,1,(null),(null),1,(null)
fabiandumaguala,1,(null),(null),(null),1
fdesmottes,1,(null),(null),1,(null)
fkantelberg,1,1,(null),(null),(null)
glitchov,1,1,(null),(null),(null)
ilizaran,1,1,(null),(null),(null)
ioans73,1,(null),(null),(null),1
it-fact4lifetimesupport,1,(null),(null),(null),1
ivancandelas,1,(null),(null),1,(null)
jasiel-osi,1,1,(null),(null),(null)
jaydeep32,1,1,(null),(null),(null)
jorge-luis-dev,1,1,(null),(null),(null)
juhenriquez,1,1,(null),(null),(null)
kafai-lam,1,1,(null),(null),(null)
kevinkhao,1,(null),(null),1,(null)
khanhratdeptrai,1,(null),(null),(null),1
klosll,1,(null),(null),(null),1
lembregtse,1,(null),1,(null),(null)
ljsalvatierra-factorlibre,1,(null),(null),(null),1
llabusch93,1,(null),(null),1,(null)
lmchlfl,1,1,(null),(null),(null)
luciaavanzosc,1,1,(null),(null),(null)
mdurepos,1,1,(null),(null),(null)
mhamra,1,1,(null),(null),(null)
moctarjallo,1,1,(null),(null),(null)
mourad-ehm,1,(null),(null),1,(null)
mpascuall,1,(null),(null),(null),1
muaazsiddiq,1,1,(null),(null),(null)
myrrkel,1,(null),1,(null),(null)
natuan9,1,(null),(null),1,(null)
nayatec,1,(null),(null),(null),1
niboo-ave,1,(null),(null),1,(null)
nicolascol,1,(null),(null),(null),1
nihelgabsi-acsone,1,1,(null),(null),(null)
oerp-odoo,1,(null),(null),(null),1
paulius-sladkevicius,1,(null),(null),(null),1
pere-aquarian,1,(null),(null),1,(null)
pierre-halleux,1,(null),(null),(null),1
ramiadavid,1,1,(null),(null),(null)
realsaiko,1,(null),(null),1,(null)
rlemeur,1,(null),(null),(null),1
rlizana,1,(null),(null),(null),1
rodmad85,1,(null),1,(null),(null)
santostelmo,1,(null),(null),(null),1
scienceuli,1,1,(null),(null),(null)
sersanchus,1,(null),(null),(null),1
smcqueen81,1,(null),(null),(null),1
stephansainleger,1,(null),(null),1,(null)
stferraro,1,(null),(null),1,(null)
strarsis,1,1,(null),(null),(null)
syci,1,(null),(null),1,(null)
theangryangel,1,(null),(null),1,(null)
thib-d,1,(null),(null),1,(null)
tobiaszehntner,1,1,(null),(null),(null)
victorCalidae,1,1,(null),(null),(null)
vincent-hatakeyama,1,(null),(null),(null),1
vung-labiso,1,1,(null),(null),(null)
zolfariot,1,1,(null),(null),(null)
LorenzoC0,0,(null),(null),(null),(null)
AtaponDew,0,(null),(null),(null),(null)
alexey-pelykh,0,(null),(null),(null),(null)
dcamacho20,0,(null),(null),(null),(null)
ramzeta,0,(null),(null),(null),(null)
samantaslimbook,0,(null),(null),(null),(null)
Abranes,0,(null),(null),(null),(null)
AmirakbariSXL,0,(null),(null),(null),(null)
BertVGroenendael,0,(null),(null),(null),(null)
Chionne27,0,(null),(null),(null),(null)
GuillermoD5,0,(null),(null),(null),(null)
Jakkrich,0,(null),(null),(null),(null)
PhillipHumint,0,(null),(null),(null),(null)
PicchiSeba,0,(null),(null),(null),(null)
Robrechtc,0,(null),(null),(null),(null)
SebastianLloret,0,(null),(null),(null),(null)
SirAionTech,0,(null),(null),(null),(null)
SirTakobi,0,(null),(null),(null),(null)
TelmoSuarez,0,(null),(null),(null),(null)
Urvisha-OSI,0,(null),(null),(null),(null)
Wvven,0,(null),(null),(null),(null)
absal-smile,0,(null),(null),(null),(null)
achulii,0,(null),(null),(null),(null)
alan196,0,(null),(null),(null),(null)
alexandregaldeano,0,(null),(null),(null),(null)
awisky,0,(null),(null),(null),(null)
barkat-matthias,0,(null),(null),(null),(null)
benwillig,0,(null),(null),(null),(null)
broadmaxcomtr,0,(null),(null),(null),(null)
cjallais,0,(null),(null),(null),(null)
damdam-s,0,(null),(null),(null),(null)
dannyadair,0,(null),(null),(null),(null)
danypr92,0,(null),(null),(null),(null)
flaenen,0,(null),(null),(null),(null)
flalexg,0,(null),(null),(null),(null)
goreki,0,(null),(null),(null),(null)
jhemono,0,(null),(null),(null),(null)
joaoc-exo,0,(null),(null),(null),(null)
jumeldi74,0,(null),(null),(null),(null)
kamladodiyaserpentcs,0,(null),(null),(null),(null)
kanisorn-kate,0,(null),(null),(null),(null)
kobfolson,0,(null),(null),(null),(null)
laszlokr,0,(null),(null),(null),(null)
luc-demeyer,0,(null),(null),(null),(null)
maq-adhoc,0,(null),(null),(null),(null)
mgomezleon,0,(null),(null),(null),(null)
miranda-cypress,0,(null),(null),(null),(null)
nabilragab,0,(null),(null),(null),(null)
nachoserra-domatix,0,(null),(null),(null),(null)
nedaszilinskas,0,(null),(null),(null),(null)
nico-foodles,0,(null),(null),(null),(null)
norlinhenrik,0,(null),(null),(null),(null)
ortlam,0,(null),(null),(null),(null)
patrickrwilson,0,(null),(null),(null),(null)
samirGuesmi,0,(null),(null),(null),(null)
thewarat-tao,0,(null),(null),(null),(null)
umaniar-plus,0,(null),(null),(null),(null)
vasi26ro,0,(null),(null),(null),(null)
