User,CPRs,MPRs,Cts,Reviews,CI
matthieusaison,4,2,1,1,6
pcastelovigo,3,1,3,-,4
ryanc-me,1,2,3,2,7
salvorapi,1,2,3,3,8
stenext,-,-,-,9,9
BT-crodriguez,-,1,3,4,7
BT-etejeda,2,2,4,-,5
BT-rmartin,-,-,3,5,7
Berezi,4,2,-,-,4
ChristophAbenthungCibex,3,1,2,-,4
ChuwenSun,4,-,-,2,4
DealTechSrl,2,-,5,1,5
El-khamisi,1,-,3,3,6
TomTietze,1,2,5,-,5
TomVermeerenDynapps,2,1,4,1,5
Vandan-OSI,3,1,1,-,4
VoicuStefan2001,4,3,-,-,5
bjouini-acsone,2,-,1,5,7
cav-adhoc,1,-,2,4,6
dsolanki-initos,-,1,-,-,1
edlopen,2,2,-,4,7
flalexg,1,1,3,2,6
ghost,-,2,5,-,4
guidotermo,-,-,8,-,3
hhgabelgaard,3,1,-,-,3
kimirondon,3,1,3,-,4
lk-eska,-,-,8,-,3
mktsrl,2,-,3,3,6
mmrondon,-,2,1,-,3
nicolascol,-,-,4,4,6
njeudy,-,-,2,6,7
robyf70,-,-,-,6,6
royle-vietnam,2,2,-,4,7
sanderlienaerts,-,2,3,2,6
thomashaunschmid86,-,-,2,6,7
umaniar-plus,4,-,2,-,3
vuwnevska,3,-,-,2,4
yboujraf,-,-,6,2,4
ygol,2,-,3,3,6
BT-fgarbely,1,1,4,1,5
Jesarregui,-,-,-,7,7
LuciaMarchalFactorLibre,2,-,3,1,4
Nikul-OSI,1,-,-,-,1
RabbitJon-S73,2,1,2,1,5
SAnnabelle,-,-,1,6,7
Sanazzzmi,1,-,3,3,6
UtsavSerpentCS,7,-,-,-,3
adrian-dks,4,3,-,-,5
deeniiz,3,3,1,-,6
dependabot[bot],4,3,-,-,5
emi-odoo,1,-,5,-,3
etoimene,-,-,7,-,3
fd-oncodna,3,2,2,-,5
hildickethan,-,1,-,2,3
iTecan,3,1,2,-,4
john-herholz-dt,-,-,5,1,3
juhenriquez,4,-,-,-,2
leblanc-simon,2,1,1,2,5
loida-vm,-,-,-,7,7
marcos-mendez,1,-,4,2,5
milleniumkid,3,-,2,-,3
moval-agroingenieria,2,1,2,1,5
navarrorico,1,-,3,2,5
nicomacr,4,1,-,1,4
np-oerp,1,-,6,-,3
pfranck,-,2,2,1,4
psugne,3,1,1,-,4
santiagordz,2,3,2,-,6
wpichler,2,1,2,1,5
Abimael1321,-,-,3,3,5
AnmollGarg,4,-,-,-,2
Bart-dh,-,-,6,-,2
Cl0ut1eR,2,-,3,-,3
FrankC013,1,-,1,2,4
Hardik-OSI,-,-,-,-,0
Honeyxilia,3,2,-,1,5
Koudja,4,-,1,1,4
Loregs2,1,2,2,1,5
MarioLM-23,-,1,-,-,1
Pablocce,-,-,-,4,4
PlantBasedStudio,3,1,2,-,4
Quan-nhm,1,1,3,-,4
Ryoko04,-,-,-,6,6
SebastianLloret,2,-,3,-,3
Siraparn,-,-,-,6,6
SonCrits,-,5,-,-,5
SoniaViciana,-,-,2,4,5
Youstina-NR,4,-,-,-,2
aarosales-spearhead,2,1,1,1,4
adrip-s73,3,-,-,-,2
alvaroGC-S73,3,-,2,-,3
amkarthik,2,-,2,2,5
apami0111,4,2,-,-,4
arthru,2,1,2,-,4
atchuthan,-,-,1,4,5
dc-oerp,-,1,3,1,4
fcayre,2,-,2,2,5
hs-oerp,-,1,5,-,3
isaako34,1,-,2,3,5
jappi00,-,1,5,-,3
jaydeep32,2,1,1,-,3
jbernausVunkers,3,-,-,2,4
jdebetaz,2,1,2,-,4
jmartinacu,3,-,1,1,4
kamladodiyaserpentcs,2,-,4,-,3
lembregtse,1,1,4,-,4
manuelcalerosolis,1,-,-,3,4
mariancuadranetkia,1,1,4,-,4
marionumza,2,-,-,-,1
marylla,-,-,6,-,2
mathiasfrancke,2,-,1,3,5
mgomezleon,1,2,-,1,4
mike-xxp,1,-,4,1,4
mostafabarmshory,-,-,1,5,6
ndd-odoo,-,1,-,-,1
nicolas-delbovier-acsone,4,-,1,-,3
sherpya,1,-,5,-,3
veryberry,-,-,-,6,6
yledoare,2,-,2,-,3
AbhishekkumarReddy,-,-,5,-,2
BT-mgomez,-,-,3,2,4
Babbato,2,-,3,-,3
Du-ma,1,-,3,1,4
FLAlvaroGomez,1,-,-,3,4
Guidomadormo,3,-,-,-,2
IT-Ideas,-,1,-,-,1
JavierVazquezQubiQ,-,-,1,4,5
JohnnyVM,1,-,3,-,3
LuvForAirplanes,-,-,4,1,3
MrTango,-,-,2,2,3
PaulGoubert,-,-,-,5,5
ROBBYHOOD9,5,-,-,-,2
SoporteOperu,-,-,-,-,0
TennyMkt,-,1,2,2,4
aaladro-kernet,-,1,4,-,3
adrienpeiffer,2,-,3,-,3
aiendry-aktivsoftware,-,-,-,-,0
benstannard,-,-,1,4,5
bodedra,-,-,5,-,2
copilot-pull-request-reviewer[bot],-,-,-,5,5
dani-xtendoo,1,-,-,-,1
elheit,-,-,-,-,0
enriquemartin,2,1,-,2,4
erlinberg,1,-,3,1,4
fd-oerp,1,-,-,-,1
florenciafrigieri2,-,-,2,2,3
gaikaz,-,-,2,3,4
hugomartineznetkia,-,-,4,-,2
javierobcn,-,-,-,5,5
kongrattapong,1,-,1,3,5
lal-solute,1,1,3,-,4
luke-stdev001,-,-,5,-,2
patrickrwilson,-,2,1,2,5
pniederlag,3,2,-,-,4
sakthi-shan,2,1,1,-,3
sheragar,-,-,-,5,5
thibaultrey,5,-,-,-,2
woutswennen,1,1,1,-,3
yterrettaz,-,-,2,3,4
AdrianaSaiz,2,-,-,1,2
Ahz9619,-,-,-,4,4
BT-jcolmeiro,1,1,1,1,4
BT-tkarpinski,-,1,-,3,4
Botakely,2,-,1,-,2
Cedric-Pigeon,-,-,1,2,3
HectorMerazChavez,1,1,-,2,4
JrAdhoc,1,1,-,1,3
Killance,-,-,1,3,4
Lopsanz,1,-,2,-,2
Miguel-Granda1121,2,-,1,-,2
PCatinean,-,-,2,2,3
Peluko,3,-,-,-,2
QuocDuong1306,-,1,-,-,1
RLeeOSI,1,-,1,-,2
SaraDForgeFlow,2,2,-,-,3
SupportSNDC,2,2,-,-,3
ThomasBinsfeld,-,1,-,3,4
TomAlbrechtQuatra,-,-,-,4,4
Yoana-RB,-,1,1,2,4
YvanDotet,-,-,4,-,2
abenzbiria,-,-,4,-,2
adriapalleja,-,-,1,1,2
ajay-odoogap,-,1,-,3,4
alexeirivera87,1,-,-,-,1
ali997-code,2,2,-,-,3
anikeenko-viktor,1,-,1,-,2
anothingguy,2,-,1,-,2
arpol-dev,-,-,1,2,3
bnisevic,-,-,-,4,4
bud-e,-,-,1,2,3
carlosdynapps,-,2,-,-,2
cormaza,2,2,-,-,3
dedinside1337,1,1,-,-,2
dessanhemrayev,-,3,-,-,3
diamondnguyenkc,-,4,-,-,4
dtec-landoo,1,-,3,-,3
dutrieuc,1,1,2,-,3
ericchew87,-,-,3,-,2
fb-ife,-,-,1,3,4
fmdl,-,-,-,4,4
jaakkom,-,-,4,-,2
jjscarafia,-,-,1,2,3
jorgeglez1990,-,-,-,4,4
juanparmer,2,-,-,-,1
julienCozo,2,-,-,-,1
lbarnis4b,2,2,-,-,3
letzdoo-js,1,-,-,-,1
ljimenezsidoo,1,1,2,-,3
maciej-wichowski,1,1,-,-,2
mathben,-,-,1,-,1
matt454357,-,-,2,-,1
mylbco,-,-,4,-,2
omar7r,2,1,-,1,3
ossimantylahti,1,1,2,-,3
paku1036,1,-,2,-,2
rivo2302,3,-,1,-,3
rolandojduartem,-,-,-,4,4
saeed-raeisi,-,-,2,2,3
siemenv,1,1,1,-,3
stevech091,-,-,-,4,4
tate11,-,-,4,-,2
techgrrow,2,-,-,-,1
tendil,1,1,-,2,4
thewarat-tao,1,-,1,2,4
thomaspot,1,-,2,-,2
torojur25,-,-,-,4,4
ACheung-FactorLibre,1,1,-,-,2
Ana-Iarajuli,-,1,-,-,1
Atyors,1,1,1,-,3
AxelPrel,-,-,3,-,2
BT-aleonard,-,-,1,1,2
BT-anieto,-,-,-,2,2
BT-mlopez,-,-,-,3,3
BenjaHe,-,-,1,2,3
David-Luis-Mora,-,-,-,-,0
DinamicheAziendali,-,-,-,3,3
FranciscoExposito,-,-,3,-,2
G02-Manuel,-,-,3,-,2
GenisEMAS,1,-,1,-,2
Hugo-Trentesaux,2,1,-,-,2
JChuc,2,-,-,-,1
JorgeQuinteros,-,-,1,2,3
LaetitiaElabore,-,-,1,1,2
Lionel-cl,1,-,2,-,2
LuisAlejandroS,1,1,-,1,3
MRomeera,-,-,-,3,3
Maarten-Van-Briel,2,-,-,-,1
Mantux11,-,-,2,-,1
MarwanBHL,1,-,-,1,2
Mikheil-21,-,-,-,-,0
Mounir-bouhyouh,1,-,1,-,2
Naraka,-,-,-,-,0
OdyX,-,-,2,1,2
OsoTranquilo,1,-,-,1,2
Pexers,1,1,1,-,3
QuiJoQuim,1,-,1,-,2
RemiFr82,-,1,1,-,2
RobbeDynapps,-,-,1,2,3
SerM11,-,-,-,3,3
Urvisha-OSI,-,1,-,-,1
Weltschmerz-dev,1,-,1,-,2
WorrapongOngsakul,-,1,-,-,1
Yassir-17,1,-,1,-,2
aaltinisik,2,-,-,-,1
aktiv-heli-kantawala,-,1,-,-,1
aliiahmed20,2,-,-,-,1
andres-pcg,-,-,3,-,2
angelmoya,-,-,-,1,1
angelvilaplana,1,1,1,-,3
antoniocanovas,-,-,-,3,3
ap-wtioit,-,-,-,2,2
augustodinizl,1,-,1,-,2
braisab,2,-,-,-,1
chafique-delli,-,-,-,-,0
chrisb-c01,-,1,-,2,3
chrisonline,2,-,-,-,1
clementelabore,1,1,-,-,2
daas13,-,-,3,-,2
domschmidt,-,-,-,3,3
dzungtran89,-,-,2,1,2
flachica,-,1,1,1,3
franco-leyes,2,-,1,-,2
gabe-grinspan,1,-,2,-,2
gbtechnology,1,-,1,-,2
gjlong68,-,-,3,-,2
gjotten,-,-,1,2,3
gregory-moka,-,-,2,1,2
janikvonrotz,1,-,-,-,1
jeffery9,2,-,1,-,2
jheras-alquemy,2,-,-,-,1
josep-tecnativa,-,-,-,3,3
juppe,2,1,-,-,2
kobfolson,-,-,1,-,1
kumarinie,-,-,-,-,0
labour-angus,-,3,-,-,3
liklee-it,-,1,1,1,3
loic-mtrl,2,1,-,-,2
ltabis,-,-,-,3,3
madecsmile,-,-,-,3,3
madridrodrigo,1,1,1,-,3
matnoublanche,-,-,3,-,2
maxgrassi,-,-,1,2,3
medaihichem,1,-,1,1,3
moitabenfdz,-,-,-,-,0
mpurnell1,-,-,2,1,2
nguyenvietlam0640,-,3,-,-,3
pablo-lp,2,-,-,-,1
pedro-evaristo-pegon,-,1,-,2,3
polcanelles,1,1,1,-,3
quoc-pn,-,-,1,1,2
rafnixg,2,-,-,-,1
rbtkay,1,1,-,1,3
regispirard,-,1,1,1,3
rf-ife,1,1,1,-,3
risto42,-,-,3,-,2
robinkeunen,1,-,1,-,2
sachin-serpentcs,-,-,-,-,0
sersanchus,1,1,1,-,3
timnis,-,-,2,-,1
tokiniainaLANJANOMENA,2,-,-,-,1
xAdrianCif,-,-,1,1,2
xtanuiha,1,-,1,1,3
yoadria,2,-,-,-,1
yung-wang,-,-,-,3,3
yweng8111,-,2,1,-,3
zahravelasco,1,-,-,-,1
zuher83,1,1,1,-,3
3coma3,-,-,2,-,1
8080git,-,-,-,2,2
AArana670,-,-,1,1,2
AaronFrans-Quatra,1,-,-,-,1
AlienAtSystem,-,-,-,2,2
AnaisLForgeFlow,-,1,-,-,1
ApenOdoo,-,-,2,-,1
BT-cserra,-,-,1,1,2
BT-mchechlacz,-,-,-,-,0
BT-ojossen,-,-,-,2,2
BT-rfiore,-,-,-,2,2
