User,CPRs,MPRs,Cts,Reviews,CI
ghost,-,-,-,-,0
gpothier,1,-,-,-,1
hectorHerreraTeigeiro,-,-,-,1,1
hoangtrann,-,-,-,1,1
houssine78,-,-,-,1,1
hs-oerp,-,-,1,-,1
iTecan,1,-,-,-,1
igr-ok,-,-,-,-,0
jans23,-,-,1,-,1
jaydeep32,-,-,-,-,0
joanbaldo-s73,-,1,-,-,1
jonasbuchholz,-,-,-,-,0
jorgeglez1990,-,-,-,1,1
jumeldi74,-,-,-,-,0
katyukha,-,-,-,-,0
kbapt,-,-,-,1,1
kevinkhao,-,-,-,-,0
kittiu,-,-,1,-,1
kluna1998,-,-,-,1,1
kobros-tech,-,-,1,-,1
lanto-razafindrabe,-,-,-,1,1
lbisiach,-,-,1,-,1
letyf1988,-,-,-,-,0
lk-eska,-,1,-,-,1
lmarion-source,1,-,-,-,1
loida-vm,-,-,-,1,1
lorenzoallegrucci,-,-,-,1,1
luis-ron,-,-,-,1,1
m1k3lm,1,-,-,-,1
maciej-wichowski,-,1,-,-,1
majouda,-,-,-,-,0
mamcode,-,-,-,1,1
marionumza,-,-,-,-,0
miguel-S73,-,-,-,1,1
miguelcb2003,1,-,-,-,1
mike-xxp,-,-,1,-,1
miluhirani121,1,-,-,-,1
mlaitinen,-,-,-,1,1
mlk994,-,-,-,-,0
mohitaktiv,-,-,-,-,0
moitabenfdz,-,-,1,-,1
mymage,-,-,-,1,1
nedaszilinskas,-,-,1,-,1
niboo-jva,-,-,-,-,0
nileshsheliya,-,-,-,-,0
njeudy,-,-,-,1,1
noharr,-,-,-,-,0
oerp-odoo,-,-,1,-,1
omalbastin,-,-,-,-,0
omar7r,-,-,-,-,0
orbeet-io-bot,-,-,-,1,1
ougc27,-,-,1,-,1
oyale,-,-,-,-,0
ozoromo,1,-,-,-,1
papulo79,-,-,1,-,1
patrickrwilson,1,-,-,-,1
pedrocs-exo,-,-,-,1,1
pmonje-duonex,-,1,-,-,1
pre-commit-ci[bot],-,-,-,-,0
quoc-pn,-,-,-,-,0
rauferdeveloper,-,-,-,-,0
ristecona,-,-,-,1,1
rlizana,-,-,-,1,1
rodmad85,1,-,-,-,1
rrebollo,-,-,1,-,1
rvjaraj,-,-,-,1,1
sajadkk,-,-,1,-,1
sakthi-shan,-,-,1,-,1
seletz,-,-,-,1,1
sersanchus,-,-,1,-,1
shochstoeger,1,-,-,-,1
siemenv,-,1,-,-,1
simgonzalez,-,-,-,-,0
smcqueen81,-,-,-,1,1
stanislaw-ladorucki,-,1,-,-,1
stenext,-,1,-,-,1
sweiland57,-,-,1,-,1
tarteo,-,-,-,-,0
tuantrantg,-,-,-,-,0
unique4,-,-,1,-,1
valentinthirion,-,-,1,-,1
vibhascs,-,-,-,-,0
vincenzoterzulli,-,-,-,-,0
vishakhasingh4,-,-,-,-,0
willievmobile,-,-,1,-,1
xavier-bouquiaux,-,-,-,-,0
yboujraf,-,-,1,-,1
ypapouin,-,-,-,-,0
zeroheure,-,-,1,-,1
zuher83,-,-,-,1,1
zurabkituashvili,1,-,-,-,1
