User,CI,CPRs,MPRs,Cts,Reviews
IJOL,7,19,(null),8,(null)
hailangvn,7,2,1,4,3
GSLabIt,7,1,(null),1,5
FernandoRomera,7,4,4,1,(null)
fcayre,7,1,(null),1,5
fapruzzese-rapsodoo,7,(null),(null),7,4
eantones,7,1,1,2,4
CasVissers-360ERP,7,(null),(null),4,5
Bilbonet,7,(null),(null),2,6
almumu,7,1,1,2,4
ajfebres,7,4,2,2,2
yanchirino,6,3,3,3,(null)
xavierbol,6,5,1,(null),3
wpichler,6,2,2,5,(null)
vuwnevska,6,1,(null),(null),5
syci,6,3,2,3,1
shamnaskoyani,6,4,1,3,1
ryanc-me,6,1,1,4,2
polqubiq,6,3,1,10,(null)
OpenCode,6,(null),(null),3,4
omar7r,6,6,2,1,1
Neitherkx,6,4,(null),5,2
namtnt,6,3,2,1,1
Murtaza-OSI,6,(null),(null),(null),6
moval-agroingenieria,6,2,1,3,2
monthop-gmail,6,11,(null),5,(null)
mbaena,6,2,1,3,2
matiasperalta1,6,3,1,2,2
lfreeke,6,(null),(null),(null),6
jusle,6,1,(null),2,4
julienCozo,6,4,(null),(null),4
JJRR5,6,(null),1,2,4
jdidderen,6,(null),3,3,1
innovara,6,2,2,8,(null)
ebauza,6,1,1,3,2
douglascstd,6,(null),(null),1,5
dmoranp,6,4,3,2,(null)
Debora7,6,5,3,1,(null)
dc-oerp,6,1,1,8,1
damdam-s,6,8,(null),5,1
clementmbr,6,4,(null),(null),4
cifuentesmx,6,3,(null),6,2
benbrich,6,(null),(null),13,2
anajuaristi,6,(null),(null),6,4
AlexPForgeFlow,6,1,1,1,3
alessandro-fiorino,6,3,2,2,1
alan196,6,5,1,3,1
aisopuro,6,2,1,2,2
ZubikIT,5,8,(null),5,(null)
tv-openbig,5,(null),(null),26,(null)
ThomasBinsfeld,5,1,1,2,2
therbin200,5,7,1,3,(null)
theangryangel,5,(null),1,3,2
tansadio,5,2,(null),2,2
smaddlsoft,5,(null),(null),5,3
RLeeOSI,5,2,1,7,(null)
Rad0van,5,2,(null),5,1
psugne,5,3,1,6,(null)
oscars8a,5,2,(null),1,3
nurinayati,5,(null),(null),4,3
norlinhenrik,5,1,2,3,(null)
nilshamerlinck,5,1,1,3,1
NachoAlesLopez,5,6,(null),1,2
maurochip,5,3,1,(null),2
luc-demeyer,5,1,1,1,2
kwoychesko,5,3,(null),11,(null)
KristianSolkaer,5,1,1,4,1
jvmntkia,5,7,1,2,(null)
jaydeep32,5,4,1,3,(null)
jarmokortetjarvi,5,2,2,2,(null)
Highcooley,5,1,1,(null),3
grojof,5,4,(null),11,(null)
Ghostdev9410,5,3,(null),5,1
fredericgrall,5,3,1,3,1
FranzPoize,5,(null),1,4,2
Flavia0320,5,5,2,1,(null)
farhatzafar,5,1,(null),2,3
emtz10,5,2,2,1,1
DantePereyra,5,1,1,(null),3
Daniel15,5,3,1,3,1
bouktaibMohssin,5,(null),(null),5,3
bjouini-acsone,5,1,3,(null),1
BenjaHe,5,2,1,4,1
baptiste-n42,5,1,2,4,(null)
